Hip|HD|BayerFlamsteed|ProperName
||Sol|Sol
 29694| 43152||
 29696| 43039| 44Kap Aur| 
 29699| 43393||
 29702| 43095||
 29704| 43153| 72    Ori| 
 29705| 43362|          | 
 29706| 43302||
 29711| 43319|          | 
 29713| 43286||
 29715| 43301||
 29716| 43318|          | 
 29720| 42417||
 29723| ||
 29725| 43017|          | 
 29727| 44247||
 29728| 43285|          | 
 29730| 42633| 40    Cam| 
 29731| 43185||
 29735| 43445|          | 
 29736| 43247| 73    Ori| 
 29738| 43411||
 29739| 43317|          | 
 29743| 42976||
 29746| 43358|          | 
 29750| 43516||
 29752| 43299||
 29756| 43636|          | 
 29761| 42250|| 
 29763| 42721||
 29764| 42869||
 29767| 43094||
 29771| 43544|          | 
 29777| 42819||
 29780| 43406||
 29782| 43443||
 29788| 44120|          | 
 29789| 43261|  8    Gem| 
 29790| 43228||
 29791| 43461|          | 
 29793| 43246||
 29798| 43335|          | 
 29800| 43386| 74    Ori| 
 29801| 43765||
 29804| 43848||
 29807| 43785|   Kap Col| 
 29808| 43847|          | 
 29810|254229||
 29811| 43628||
 29812| 44578||
 29814| ||
 29816| 43941||
 29824| 43147||
 29829| 43717||
 29839| 43526|          | 
 29840| 43384|  9    Gem| 
 29842| 43899|          | 
 29843| 43745|          | 
 29849| 43496||
 29850| 43525| 75    Ori| 
 29851| 43762||
 29852| 43940|          | 
 29854| 43804||
 29855| 43828||
 29860| 43587|          | 
 29864| 42756||
 29867| 43479||
 29869| 43171||
 29873| 42994||
 29875| ||
 29876| 42974||
 29881| 43583|          | 
 29882| 43382||
 29884| 43244| 42    Aur| 
 29885| 43760|  6    Mon| 
 29886| 43333||
 29888| 43879||
 29892| 44246||
 29895| 43827|          | 
 29900| 43861||
 29901| 43381||
 29904| 43353||
 29912| 43974||
 29913| 44267|          | 
 29917| 43757||
 29919| 42973|  1    Lyn| 
 29929| 44295||
 29931| 43683|          | 
 29936| 43843||
 29941| 43955|          | 
 29948| 43776||
 29949| 43380| 43    Aur| 
 29951| 43857||
 29955| 43624||
 29958| ||
 29963| 44277||
 29964| 45081||
 29969| 43823||
 29972| 44163||
 29974| 42891||
 29975| 43646||
 29982| 43821|          | 
 29990| 44362|          | 
 29993| 44021|          | 
 29994| 43841||
 29996| 43993|          | 
 29997| 42818|          | 
 30002| 43644||
 30003| 43740||
 30004| 44102||
 30011| 44081|          | 
 30014| 43840||
 30019| 43819|          | 
 30021| 43259||
 30023| 43523||
 30025| 43873||
 30028| 44037|          | 
 30027| 43988||
 30030| 43989||
 30031| 43352||
 30034| 44627||
 30038| 45080||
 30039| 44144||
 30045| 44310||
 30046| 43818||
 30049| 43836||
 30051| 43931||
 30058| 42937||
 30060| 43378|  2    Lyn| 
 30062| 44225||
 30064| 44880||
 30065| 42992||
 30066| 44264||
 30067| 43947||
 30069| 44323|          | 
 30071| 44182||
 30073| 44112|  7    Mon| 
 30074| 43739||
 30079| 44404||
 30088| 44200||
 30091| 43885||
 30093| 44131|          | 
 30094| 44846||
 30099| 44033|          | 
 30104| 44594|          | 
 30105| 44178||
 30112|288595||
 30119| 44241||
 30120| 44109||
 30122| 44402|  1Zet CMa| 
 30123| 43621||
 30132| 44666||
 30141| 44379||
 30143| 44506|          | 
 30144| 44050||
 30149| 44288||
 30153| 42951||
 30159| 44427||
 30165| 43750||
 30167| 44286||
 30169| 44173|          | 
 30170| 46262||
 30171| 44396||
 30174| 44524||
 30180| 44172||
 30185| 44274||
 30188| 44071||
 30190| 44394||
 30200| 44092|          | 
 30202| 44171||
 30205| 44004||
 30214| 44458|          | 
 30215| 45058||
 30217| 44333|          | 
 30218| 44234|          | 
 30220|255639||
 30225| 44573||
 30229| 44253||
 30232| 44569||
 30237| 45002||
 30238| 44480||
 30240| 44482||
 30243| 44420||
 30245| 44318||
 30246| 44029||
 30247| 43905| 45    Aur| 
 30248| 44418||
 30252| 44958||
 30256| || 
 30258| 46384||
 30267| 44091||
 30272| 43812|  4    Lyn| 
 30273| 44250||
 30274| 44776||
 30275| 43771||
 30276| 44621||
 30277| 44762|   Del Col| 
 30278| 43749||
 30299| 44972||
 30303| 44124||
 30314| 45270||
 30318| 44497|          | 
 30321| 45669|   Pi 1Dor| 
 30324| 44743|  2Bet CMa| 
 30328| 44602||
 30333| 44496||
 30338| 44896||
 30339| 45056||
 30341| 44638||
 30342| 45229|   Nu  Pic| 
 30343| 44478| 13Mu  Gem| 
 30344| 44821||
 30351| 44701||
 30352| 45461|          | 
 30356| 44720||
 30357| 44061||
 30362|256294||
 30365| ||
 30372| 44979||
 30373| 44390||
 30376| 44956|          | 
 30381| 44800||
 30382| 44700|          | 
 30387| 44756|          | 
 30390| 44933||
 30395| 44978||
 30396| 44541||
 30397| 44893||
 30407| 44816|          | 
 30408| 44413||
 30410| 45033||
 30414| 44892||
 30418| 45098||
 30419| 44769|  8Eps Mon| 
 30420| 44891|          | 
 30422| 44770|          | 
 30423| 45450|          | 
 30425| 44771||
 30426| 44953|          | 
 30430| 44841||
 30432| 44474||
 30436| 45018|          | 
 30438| 45348|   Alp Car|Canopus
 30444| 45145|          | 
 30445| 44782||
 30448| 44783|          | 
 30455| 45158||
 30457| 44951|          | 
 30458| 44150||
 30461| 45074||
 30463| 45557|          | 
 30466| 44495||
 30468| 44996|          | 
 30469| 45016||
 30474| 44386||
 30476| 45289||
 30480| 45701|          | 
 30483| 44812||
 30484| 44633||
 30486| 44614||
 30489| 44907||
 30492| 44853||
 30493| 44948||
 30497| 44694||
 30501| 44780||
 30503| 45184|          | 
 30505| 45306|          | 
 30507| 44612||
 30513| 44966||
 30518| 44766|          | 
 30517| 44867|          | 
 30520| 44537| 46Psi1Aur| 
 30524| 45796|          | 
 30532| 44904||
 30539| 44556||
 30540| 44794||
 30541| 44990|          | 
 30544| 45345||
 30545| 45067|          | 
 30547| 45050|          | 
 30548| 44883||
 30552| 44985||
 30553| 45124||
 30564| 44984|          | 
 30565| 46116|   Pi 2Dor| 
 30566| 45383|          | 
 30569| 44926||
 30570| 44927|          | 
 30574| 44941||
 30575| 45139||
 30577| 45424||
 30578| 44473||
 30579| 45364||
 30580| 45153||
 30583| 45382||
 30586| 45044||
 30588| 44974||
 30589| 44834||
 30591| 45572|          | 
 30592| 45304||
 30593| 45501||
 30594| 45137|          | 
 30595| 45168|          | 
 30599| 45481||
 30601| 45152||
 30602| 45090||
 30604| 45459||
 30605| 44536||
 30608| 45239|          | 
 30613| 45089||
 30619| 44412||
 30627| 45215||
 30630| 45088|| 
 30633| 45284||
 30638| 45212||
 30640| 44901||
 30650| 45257||
 30651| 44691|          | 
 30655| 45437||
 30660| 45321|          | 
 30663| 45180||
 30664| 45553||
 30665| 45194||
 30666| 45320|          | 
 30669| 45420||
 30670| 45317||
 30675| 45380|          | 
 30678| 65322||
 30679| 44708|  5    Lyn| 
 30691| 45398||
 30692| 45357|          | 
 30700| 45418||
 30703| 45984|          | 
 30705| 45610||
 30706| 45680|          | 
 30711| 45588|          | 
 30714| 46069||
 30717| 45416|          | 
 30720| 45433|          | 
 30722| 45314||
 30728| 45415|          | 
 30729| 45665||
 30733| 45609||
 30735| 45431||
 30741| 45192|          | 
 30743| 45566||
 30745| 45004||
 30747| 45237||
 30749| 45353||
 30756|257498||
 30757| 45352||
 30760| 46190||
 30762| 45105|          | 
 30769| 45394| 16    Gem| 
 30772| 45546| 10    Mon| 
 30776| 45629||
 30788| 45813|   Lam CMa| 
 30793| 45530||
 30794| 44472|          | 
 30795| 47332||
 30798| 45563|          | 
 30804| 45512|          | 
 30815| 45506|          | 
 30827| 45412| 48    Aur| 
 30836| 45765|          | 
 30838| 45654||
 30840| 45871|          | 
 30849| 45983|          | 
 30850| 45393||
 30860| 45350||
 30862| 45391||
 30863| 45674||
 30867| 45725| 11Bet Mon| 
 30869| 45175||
 30874| 45689||
 30878| 45191||
 30880| 45504|          | 
 30883| 45542| 18Nu  Gem| 
 30886| 45638|          | 
 30888| ||
 30890| 45580||
 30893|257886||
 30905| 45652||
 30906| 45724|          | 
 30920| || 
 30925| 45941||
 30931| 45857||
 30932| 46355|          | 
 30938| 45831||
 30942| 45916||
 30944| ||
 30949| ||
 30953| 46273|          | 
 30959| 46479||
 30961| 45789||
 30970| 45829||
 30972| 45466| 47    Aur| 
 30973| 46730|          | 
 30977| 45827|          | 
 30979| 45977||
 30986| 45976|          | 
 30988| 46037||
 31000| 45769||
 31001| 45721||
 31002| 45271||
 31006| 45622||
 31010| 45974||
 31011| 45975||
 31015| 45911||
 31017| 46035||
 31019| 45910||
 31020| 46034||
 31024| 46064|          | 
 31028| 46131||
 31032| 46288||
 31037| 46189|          | 
 31039| 45410|  6    Lyn| 
 31047| 46272||
 31054| 45783||
 31056| 46365|          | 
 31057| 46975||
 31058| 45720||
 31061| 46415||
 31066| 45995|          | 
120003|258782||
 31068| 46792|          | 
 31069|258857||
 31071| 47213||
 31072| 46349|          | 
 31076| 46505||
 31079| 46569|          | 
 31083| 46090||
 31084| 46184|          | 
 31086| 46347||
 31088| 46185||
 31092| 46270||
 31096| 45848||
 31099| 46431|          | 
 31100| 46017||
 31101| 46165||
 31104| 45899||
 31105| 46031| 19    Gem| 
 31107| 46075|          | 
 31110| 46105||
 31115| 46138||
 31118| 46122||
 31119| 46089|          | 
 31121| 46229|          | 
 31126| || 
 31125| 46328|  4Xi 1CMa| 
 31130| 46150||
 31131| 46308||
 31133| 46413||
 31134| 47252||
 31137| 46860|   Mu  Pic| 
 31139| 46030||
 31142|258728||
 31143| ||
 31147| 46179||
 31148| || 
 31149| 46223||
 31152| 46283||
 31154| 45528||
 31155| 46199||
 31156| ||
 31158| 46136||
 31159| 46241| 12    Mon| 
 31161| 46652||
 31164| 46148||
 31165| 46568|          | 
 31167| 46304|          | 
 31168| 46178|          | 
 31173| 46052|          | 
 31178| 46446||
 31183| ||
 31186| 46682||
 31187| 46524||
 31190| 46547|          | 
 31191| 46222||
 31193| 46050||
 31197| 46301||
 31200| 46072||
 31201| 46523||
 31203| 47095||
 31205| 46407|          | 
 31209| 45950||
 31216| 46300| 13    Mon| 
 31223| 46836||
 31226| 46426||
 31227| 46049||
 31231| 44385||
 31237| 46377||
 31238| 46016||
 31241| 46727|          | 
 31243| 46726||
 31246| 46375||
 31263| 44579||
 31265| 47001|          | 
 31266| 46602|          | 
 31269| 46694||
 31277| 46374|          | 
 31278| 46487|          | 
 31284| 46679||
 31285| 46541||
 31288| 46157||
 31290| 46251|          | 
 31293| ||
 31292| ||
 31299| 46815|          | 
 31300| || 
 31309| 46048||
 31314| 48584||
 31316| 46386||
 31323| 46401||
 31325| 46813||
 31326| 46558||
 31330| 46974||
 31332| 46663||
 31338| 46616||
 31340| 46296||
 31342| 46614||
 31346| 46597||
 31344| 46644||
 31356| 46716||
 31359| 46101|  7    Lyn| 
 31362| 46936|          | 
 31363| 46612||
 31367| 46276||
 31368| 46516||
 31373| 46359||
 31374| 46973||
 31382| 46854||
 31385| 46642| 14    Mon| 
 31392| 46853||
 31396| 46594||
 31398| 46971||
 31403| 46593||
 31404| 46595||
 31407| 47306|          | 
 31410| 47025||
 31414| 46464||
 31416| 46933|  5Xi 2CMa| 
 31424| 46451||
 31427| 46659||
 31430| 47567||
 31434| 46553| 49    Aur| 
 31446| 46769|          | 
 31447| 46802||
 31448| 46709|          | 
 31451| ||
 31454| 46482||
 31453| 47146||
 31457| 47144|          | 
 31462| 44490||
 31469| 47012||
 31473| 45161||
 31475| 47168||
 31477| 47371||
 31487| 47352||
 31502| 47011||
 31503| 46764||
 31506| 47408||
 31508| 46747||
 31509| 47230|          | 
 31510| 46990||
 31511| 46493||
 31519| 46641||
 31520| 46657||
 31523| 46885|          | 
 31525| 46781||
 31526| 46318||
 31531| 46825||
 31533| 47141||
 31540| 47186||
 31541| 47209||
 31547| 47283||
 31552| 46317||
 31555| ||
 31557| 47207||
 31558| 47139||
 31564| 47138|  6Nu 1CMa| 
 31565| 46294||
 31567| 46966||
 31568| 46780||
 31569| 47699||
 31570| 47540||
 31572| 47282||
 31574| 46900||
 31575| 45821||
 31579| 46687|          | 
 31581| ||
 31583| 47054|          | 
 31585| 46762||
 31592| 47205|  7Nu 2CMa| 
 31593| 47247|          | 
 31595| 46866||
 31599| 47182|          | 
 31603| 47475|          | 
 31617| 47463|          | 
 31620| 47517||
 31621| 47390||
 31622| 47072||
 31623| 47391||
 31626|260564||
 31629| 47160||
 31634| || 
 31635|260655|| 
 31637| 47500|          | 
 31642| 47601||
 31646| 47129|          | 
 31650| 47020|          | 
 31655| 47157||
 31656| 47278||
 31660| 47127||
 31661| 47910||
 31662| 47156|          | 
 31665| 46590| 11    Lyn| 
 31666| 48527||
 31667| 47051||
 31672| 47220|          | 
 31673| 46608||
 31674| 47366|          | 
 31676| 46480|  8    Lyn| 
 31681| 47105| 24Gam Gem|Alhena
 31685| 47670|   Nu  Pup| 
 31688| 47536|          | 
 31691| 47274||
 31692| 48611||
 31693| 47364||
 31696| 47086||
 31697| 47240|          | 
 31698| 47257||
 31700| 47442|  8Nu 3CMa| 
 31703| 45947|          | 
 31711| 48189|          | 
 31716| 47050||
 31720| 46607||
 31724| 47292||
 31730| 47176||
 31731| 46702||
 31732| ||
 31733| 47420|          | 
 31734| ||
 31736| 47579||
 31737| 47152| 53    Aur| 
 31738| 48024||
 31742| 48447||
 31749| 47382||
 31758| 47561|          | 
 31763| 46635||
 31765| 47973|          | 
 31766| 47432|          | 
 31768| 48246||
 31771| 47070| 51    Aur| 
 31773| 47805||
 31776| 47046||
 31785| 47596||
 31787| 47417||
 31789| 47100| 52Psi3Aur| 
 31790| 47431|          | 
 31796| 47216||
 31807| 47099||
 31811| 47668||
 31813| 47358|          | 
 31821| 47787||
 31827| 47667|          | 
 31832| 47174| 50Psi2Aur| 
 31833| ||
 31841| 48069||
 31850| 47415|          | 
 31852| 47395| 54    Aur| 
 31859| 47827|          | 
 31860| 48267||
 31862| || 
 31870| 47946|          | 
 31871| 48292||
 31872| 46963||
 31874| 47663||
 31875| 48150||
 31876| 47575|          | 
 31878| ||
 31886| 48087|          | 
 31889| 47270|          | 
 31896| 47574||
 31897| 50506|   Zet Men| 
 31900| 47868||
 31903| 47525||
 31916| 47335||
 31921| 47799||
 31922| 45560|          | 
 31925| 47821||
 31928| 47412||
 31931| ||
 31935| 47993||
 31940| 45866|          | 
 31944| 47005||
 31945| 47756|          | 
 31946| 46509|          | 
 31949| 48112||
 31956| 47467||
 31961| 47171||
 31962| 48402||
 31965| 47309||
 31966| 48403|          | 
 31976| 48038||
 31977| 49268|          | 
 31978| 47839| 15    Mon| 
 31979| 47254||
 31980| 46962||
 31985| 48016||
 31987| 47753||
 31992| 47964|          | 
 31993| 48261||
 31995| 47572||
 31996| 47888||
 32001| ||
 32002| 48305||
 32007| 48383|          | 
 32010| 47752|| 
 32012| 47886|          | 
 32014| 47730||
 32019| 47731| 25    Gem| 
 32020| 47863|          | 
 32022| 48106||
 32027| 48035||
 32034| 47984||
 32037| 48203||
 32040| 47703|          | 
 32043| ||
 32055| 48011||
 32062| 48101||
 32064| 48217|          | 
 32065| 48315||
 32067| 48099|          | 
 32069| 48287||
 32072| 48157||
 32076| 48286||
 32080| 48215||
 32086| 47960||
 32091| 48543|          | 
 32094| 48144||
 32104| 48097| 26    Gem| 
 32106| 49306||
 32112| 48425||
 32117| 47215||
 32120| 48007||
 32121| 47464||
 32125| 47882||
 32126| 48674||
 32133| 48301||
 32135| 47748||
 32140| 48581||
 32143| 48006||
 32144| 48501|          | 
 32146| 48332||
 32148| 48857||
 32151| 47606||
 32171| 48481||
 32173| 47914| 55Psi4Aur| 
 32175| 48629||
 32177| 48348|          | 
 32185| 48628||
 32188| 48394||
 32190| 48073|          | 
 32193| 48574||
 32204| 47879||
 32208| 48797|          | 
 32212| 48393||
 32222| 49947|          | 
 32223| 48836||
 32226| 48434|          | 
 32238| 48345||
 32243| 48758||
 32244| 48777||
 32246| 48329| 27Eps Gem| 
 32249| 48433| 30    Gem| 
 32251| 48969||
 32252| 47659||
 32256| 49192||
 32261| 47979|          | 
 32263| 48271||
 32268| 48272|          | 
 32269| 49219||
 32270| ||
 32275| 48228||
 32277| ||
 32284| 47930||
 32288| 48616||
 32290| 48594||
 32292| 48917| 10    CMa| 
 32293| 46758||
 32295| 48494||
 32296| 45618|          | 
 32309| 49518||
 32310| 48872||
 32311| 48450| 28    Gem| 
 32313| || 
 32315| 48270||
 32319| 48890||
 32320| 47977||
 32322| 48938|          | 
 32329| 48565||
 32332| 50002|          | 
 32333| 48548||
 32339| 49028|          | 
 32345| 48808||
 32349| 48915|  9Alp CMa|Sirius
 32350| 48412||
 32352| 48923||
 32353| 48510||
 32354| 49260||
 32355| 48807||
 32356| 49259||
 32358| 48207||
 32359| 48716||
 32362| 48737| 31Xi  Gem| 
 32366| 49095|          | 
 32367| 48641||
 32368| 49001|          | 
 32369| 48640||
 32374| 49800||
 32375| 49396|          | 
 32376| 48784||
 32382| 48410||
 32385| 49131|          | 
 32387| 48845||
 32389| 48638||
 32393| 49068||
 32397| 48914||
 32398| 48922||
 32402| 49517|          | 
 32404| 48843| 32    Gem| 
 32406| 49091||
 32407| 48979||
 32410| 48589||
 32411| 49048|          | 
 32414| ||
 32418| 49319|          | 
 32423|263175|| 
 32426| 49126||
 32431| 48805||
 32433| 48587||
 32434| 49336|          | 
 32435| 53842||
 32436| 49302||
 32438| 48250| 12    Lyn| 
 32439| 46588|          | 
 32444| 49258||
 32449| 48489||
 32451| 48864||
 32455| 49183||
 32461| 49123||
 32463| 48977| 16    Mon| 
 32464| 48976||
 32466| 49148||
 32474| 49147|          | 
 32475| 49015||
 32477| 49705|          | 
 32480| 48682| 56Psi5Aur| 
 32481| 49614||
 32488| 48953||
 32489| 48432| 13    Lyn| 
 32492| 49229| 11    CMa| 
 32494| 49689|          | 
 32500| 58805|          | 
 32503| 46550||
 32504| 49333| 12    CMa| 
 32523| 48994||
 32530| ||
 32531| 49877|          | 
 32532| 49058||
 32533| 49161| 17    Mon| 
 32537| 49591|          | 
 32538| 49758||
 32539| 49059|          | 
 32544| ||
 32548| 51320||
 32557| 49415||
 32558| 49331|          | 
 32560| || 
 32562| 48781| 57Psi6Aur| 
 32564| 52494||
 32571| 49120||
 32572| 49294||
 32578| 49293| 18    Mon| 
 32607| 50241|   Alp Pic| 
 32608| 49385||
 32609| 48766|          | 
 32610| 50127||
 32615| 49850||
 32617| 49434|          | 
 32622| 49481||
 32623| 49009||
 32631| 49367||
 32637| 49573||
 32644| 49503||
 32646| 49723||
 32657| 49942||
 32659| 49429||
 32668| 49833||
 32669| 49793||
 32672| 49647||
 32673| 49178||
 32677| 49662|          | 
 32682| 49567|          | 
 32685| 49790||
 32688| 49381||
 32689| 49345||
 32691| 50080||
 32693| 49406||
 32696| 49699||
 32697| 49872||
 32698| 49643|          | 
 32702| 49197||
 32708| 49894||
 32713| 49641||
 32715| 50126||
 32716| 49961||
 32718| 50078||
 32723| || 
 32724| 49741||
 32726| 49564||
 32729| 49868||
 32728| ||
 32740| 49380|          | 
 32743| 49500||
 32744| 49891|          | 
 32745| 49713||
 32746| 49364||
 32754| ||
 32753| 49606| 33    Gem| 
 32759| 50013| 13Kap CMa| 
 32761| 50337|          | 
 32765| 50223|          | 
 32768| 50310|   Tau Pup| 
 32769| 48948|| 
 32771| 50196|          | 
 32774| 49288||
 32775| 50571|          | 
 32776| 49676||
 32779| 50862||
 32781| 49711||
 32782| 50012|          | 
 32786| 49888||
 32788| 50096||
 32789| 49659||
 32790| 50157||
 32793| 49739||
 32794| 49499||
 32801| 49955||
 32806| 49039||
 32809| 49980|          | 
 32810| 50123|          | 
 32813| 51211||
 32814| 49738| 35    Gem| 
 32827| 50093|          | 
 32830| 50178||
 32838| 49976|          | 
 32839| 49935||
 32844| 49520| 58Psi7Aur| 
 32851| 49933|          | 
 32855| 50235|          | 
 32856| 50118||
 32864| 48879| 42    Cam| 
 32872| 49932||
 32874| 49736||
 32883| 50503||
 32886| 50153||
 32893| 50067||
 32896| 49909||
 32901| 50041||
 32910| 50446||
 32912| 51557|   Iot Vol| 
 32916| 49674||
 32918| 50621|          | 
 32919| 49601|| 
 32921| 49908| 36    Gem| 
 32923| 50138||
 32926| 50005||
 32927| 50039||
 32931| 50062|          | 
 32933|265312||
 32936| 50134||
 32938| 50445|          | 
 32939| ||
 32945| ||
 32947| 50083||
 32948| 42855||
 32949| 49633||
 32957| 50170||
 32960| 50082||
 32964| 49951||
 32968| 49968|          | 
 32970| 50499||
 32971| 50255||
 32979| 50251||
 32984| 50281|| 
 32990| 50282|          | 
 33002| 49904||
 33003| 51801||
 33005| 50228||
 33006| 50785|          | 
 33007| 50491||
 33008| 50538||
 33012| 51210|          | 
 33013| 50463||
 33016| 51043|          | 
 33015| 50860|          | 
 33018| 50019| 34The Gem| 
 33024| 50277|          | 
 33029| 50462||
 33036| 50372||
 33037| 50590||
 33038| 50882||
 33040| 50648|          | 
 33041| 50018| 59    Aur| 
 33044| 50056|          | 
 33048| 49618| 14    Lyn| 
 33054| 50186||
 33056| 49949|          | 
 33064| 50037| 60    Aur| 
 33068| 50343||
 33077| 50644|          | 
 33079| 50643|          | 
 33081| 50711||
 33082| 50371|          | 
 33085| 49902||
 33092| 50707| 15    CMa| 
 33094| 50806|          | 
 33104| 49340| 43    Cam| 
 33109| 50639||
 33112| 50674||
 33126| 50853|          | 
 33133| 50204| 61Psi8Aur| 
 33139| 51266|          | 
 33142| || 
 33147| 50557||
 33150| 50316||
 33152| 50877| 16Omi1CMa| 
 33154| 50700|          | 
 33160| 50778| 14The CMa| 
 33165| 50896|          | 
 33170| 51042||
 33175| 50751||
 33178| 51014||
 33179| 50482||
 33184| 50747|          | 
 33189| 51208|          | 
 33196| 50161||
 33202| 50635| 38    Gem| 
 33205| 50607||
 33206| 50725||
 33210| 50820|          | 
 33212| 50554||
 33217| 50202||
 33218| 50315||
 33226|265866||
 33229| 51608|| 
 33239| 50634||
 33241| || 
 33243| 50890|          | 
 33248| 51055| 17    CMa| 
 33254| 51312||
 33257| 50933||
 33263| 51054||
 33269| 50420|          | 
 33270| 51202||
 33271| 50384|          | 
 33273| 52493||
 33277| 50692| 37    Gem| 
 33287| 50662||
 33291| 50576||
 33294| 51200||
 33297| 50931|          | 
 33298| 51367||
 33302| 51199| 19Pi  CMa| 
 33306| 52418||
 33316| 51283|          | 
 33322| ||
 33323| 51343||
 33324| 51929||
 33328| 51106||
 33330| 51411|          | 
 33331| 50816||
 33345| 51250| 18Mu  CMa| 
 33347| 51309| 20Iot CMa| 
 33352| 51024||
 33353| 51074||
 33357| 51799|          | 
 33358| 50974||
 33372| 51104|          | 
 33373| || 
 33377| 50658|   Psi9Aur| 
 33379| 51220||
 33380| 51457||
 33382| 51219||
 33383|266479||
 33384| 54239|   The Men| 
 33385| 51335||
 33390| ||
 33394| 51682|          | 
 33396| 51968||
 33399| 51102||
 33405| 51332||
 33415| 50763|          | 
 33419| 51101||
 33420| 51424|          | 
 33421| 51000|          | 
 33423| 51573||
 33426| 51546||
 33428|266611|| 
 33436| 51480||
 33444| 50551|          | 
 33447| 51630|          | 
 33449| 50522| 15    Lyn| 
 33451| 51825|          | 
 33453| 51021||
 33464| 52301||
 33465| 51330|          | 
 33472| 50947||
 33473| 52300||
 33474| 51449||
 33475| 52024||
 33476| 51652||
 33477| 51296||
 33478| 51733|          | 
 33480| 51732||
 33481| 51901||
 33485| 50973| 16    Lyn| 
 33492| 51823|          | 
 33493| 51354||
 33495| 52298||
 33497| 51295||
 33499| || 
 33507| 51098||
 33510| 52279||
 33513| 51565||
 33515| 51700||
 33517| 52196||
 33518| 50520||
 33529| 51502||
 33530| 51725||
 33532| 51925|          | 
 33533| 51964||
 33534| 51726||
 33537| 51419||
 33540| 51533||
 33545| 51645||
 33550| 51620||
 33556| 51876||
 33558| 52092|          | 
 33560| 51849|| 
 33568| 51756||
 33572| 51531||
 33574| 51986||
 33575| 52018|          | 
 33577| 52622|          | 
 33578| 51845||
 33579| 52089| 21Eps CMa|Adhara
 33580| 51046||
 33584| 51693|          | 
 33588| 52603|          | 
 33590| 52362|          | 
 33591| 52140|          | 
 33595| 51530| 39    Gem| 
 33603| 51814|          | 
 33609| 52470||
 33610| 52220||
 33611| 52138||
 33614| 51440| 62    Aur| 
 33622| 52904||
 33643| 51418||
 33644| 51892|          | 
 33650| 51688| 40    Gem| 
 33654| ||
 33666| 52273|          | 
 33668| 51397||
 33669| 52414||
 33671| 52395||
 33672| 51324||
 33673| 52356||
 33675| 56938||
 33682| 53501|          | 
 33683| 52574||
 33684| 51955||
 33685| 52242||
 33690| 53143|| 
 33691| 52491||
 33692| 52465||
 33694| 49878|          | 
 33701| 51834||
 33703| 52348|          | 
 33705| 52516||
 33712| 51886||
 33713| 52388||
 33715| 52005| 41    Gem| 
 33718| 52037||
 33719| 52265|          | 
 33721| 52437|          | 
 33722| 50904||
 33723| 52266||
 33724| 52263||
 33728| 52902||
 33729| 52312|          | 
 33730| 52074||
 33731| 52206||
 33734| 52462||
 33736| 52756||
 33743| 52485||
 33748| 52155||
 33750| 52436||
 33752| 52124||
 33754| 52382|          | 
 33757| 52035||
 33758| 52486||
 33760| 52619|          | 
 33762| ||
 33770| 52596||
 33774| 52703|          | 
 33779| 53047|          | 
 33781| 52540||
 33786| 52379||
 33789| 52287||
 33794| 52432||
 33799| 52613||
 33800| 53349|          | 
 33802| 53658||
 33803| 52899||
 33804| 52670|          | 
 33805| ||
 33810| 52309||
 33812| 52782||
 33817| 52698|| 
 33816| 51638||
 33818| 52284||
 33823| 52100|          | 
 33825| 53142||
 33827| 50885|          | 
 33846| 52812||
 33848| 52456||
 33852| 51866|| 
 33853| 52778||
 33854| 52479|          | 
 33856| 52877| 22Sig CMa| 
 33858| 51068||
 33864| 52993||
 33868| 52721||
 33869| 52694||
 33873| 52611|          | 
 33875| 52559|          | 
 33878| 52666|          | 
 33880| 51495||
 33881| 52806||
 33885| 52099||
 33887| 53526||
 33891| 52690||
 33893| 52403||
 33894| 52719||
 33909| 53253|          | 
 33911| 52473||
 33914| 52556|          | 
 33917| 52586||
 33921| 52472||
 33922| 53252||
 33927| 52497| 42Ome Gem| 
 33929| 52554|          | 
 33931| 51999||
 33932| 49985||
 33933| ||
 33937| 52609|          | 
 33949| 51349||
 33951| 52986||
 33952| 47547||
 33955| 52919|| 
 33957| 53494||
 33961| 53013||
 33970| 53123||
 33971| 52918| 19    Mon| 
 33977| 53138| 24Omi2CMa| 
 33978| 53139||
 33984| 53405||
 33985| 52145||
 33995| 52886||
 33996| 52068||
 33997| 52836||
 34000| 53921|          | 
 34002| 52913|          | 
 34005| 53004||
 34006| 53762||
 34007| 53056||
 34010| 53033||
 34015| 53868||
 34017| 52711|          | 
 34024| 51370||
 34025| ||
 34026| 53003||
 34032| 53085||
 34033| 52960|          | 
 34034| ||
 34038| 52961||
 34039| 53083||
 34041| 53344||
 34043| 52709||
 34045| 53244| 23Gam CMa| 
 34052| 53680|| 
 34055| 52976|          | 
 34058| 53267||
 34059| 53811|          | 
 34060| 53840||
 34065| 53705|          | 
 34066| 53240|          | 
 34068| 52654||
 34069| 53706|          | 
 34070| 52552||
 34072| 53177||
 34078| 53113||
 34080| 53303||
 34079| 52450||
 34081| 53704|          | 
 34083| 52737||
 34085| 51067||
 34086| 53208|          | 
 34087| ||
 34088| 52973| 43Zet Gem| 
 34092| 54400||
 34094| 52996||
 34095| 53157||
 34101| 51066||
 34103| 52822||
 34104| || 
 34105| 54118|          | 
 34106| 53203||
 34107| 53205|          | 
 34112| 53202||
 34115| || 
 34116| 53367||
 34133| 53456||
 34137| 53834||
 34138| 53698||
 34142| 53629|          | 
