Hip|HD|BayerFlamsteed|ProperName
||Sol|Sol
  1342|  1324|          | 
  1346|  1241||
  1347|  1165||
  1349|  1273|| 
  1352|  1240||
  1353|  1254||
  1354|  1239|          | 
  1366|  1280| 24The And| 
  1368| || 
  1372|  1279|          | 
  1382|  1320||
  1386| || 
  1389| ||
  1392|  1317||
  1398| ||
  1399| ||
  1402|  1343|          | 
  1406| ||
  1407| ||
  1412| || 
  1415|  1337|          | 
  1421|  1367|          | 
  1424|  1369||
  1427|  1352||
  1429|  1364||
  1434|  1350||
  1439|  1375||
  1444|  1388|| 
  1455|  1393||
  1456|  1374||
  1463| || 
  1464|  1431||
  1465|  1419|          | 
  1469|  1434||
  1470|  1421||
  1473|  1404| 25Sig And| 
  1474|  1392||
  1475|  1326|| 
  1476|  1444||
  1477|  1406||
  1481|  1466||
  1484|  1359||
  1486|  1400||
  1487|  1452||
  1488|  1429||
  1493|  1439|          | 
  1495|  1449||
  1496|  1448||
  1499|  1461|          | 
  1501|  1438| 26    And| 
  1502|  1483|          | 
  1532| || 
  1539| ||
  1546| ||
  1549|  1467||
  1550|  1486||
  1551|  1531||
  1562|  1522|  8Iot Cet| 
  1571|  1550||
  1573|  1539||
  1575|  1527|          | 
  1579|  1537||
  1587|  1567||
  1595|  1563||
  1597|  1589||
  1598|  1562||
  1599|  1581|   Zet Tuc| 
  1600|  1588||
  1602|  1585||
  1603|  1561|          | 
  1608| || 
  1611|  1594||
  1630|  1606|          | 
  1638|  1627||
  1639|  1601||
  1642|  1614||
  1644|  1598||
  1645|  1635| 41    Psc| 
  1647|  1685|   Pi  Tuc| 
  1652|  1613||
  1656|  1633||
  1657|  1632|          | 
  1660|  1667||
  1663|  1651||
  1667|  1683||
  1669|  1641||
  1670|  1663|          | 
  1674|  1624||
  1677|  1662||
  1684|  1679||
  1686|  1671| 27Rho And| 
  1688|  1677||
  1691|  1689||
  1692|  1690||
  1694|  1721||
  1696| || 
  1700|  1658||
  1706|  1801|          | 
  1707|  1767||
  1708|  1737|   Iot Scl| 
  1714|  1777||
  1715|  1712||
  1719| ||
  1720| || 
  1725|  1695||
  1728|  1760|          | 
  1732|  1766||
  1734| || 
  1755|  1788||
  1766|  1817||
  1768|  1815|| 
  1769|  1794||
  1771| ||
  1772|  1796| 42    Psc| 
  1777|  1860||
  1779|  1893||
  1794|  1811||
  1795|  1856||
  1799|  1826||
  1803|  1835|  9    Cet| 
  1804|  1855||
  1807| ||
  1809|  1831||
  1812|  1868||
  1813|  1832||
  1818|  1848||
  1821|  1879||
  1823|  1926||
  1830|  1909|          | 
  1837|  1910|| 
  1842| || 
  1849|  1923||
  1854|  1921||
  1860| || 
  1866| ||
  1871|  1904||
  1885| ||
  1892|  1917||
  1899|  1980||
  1900|  1978||
  1905|  1952||
  1910| ||
  1921|  1976|          | 
  1933|  2014||
  1936|  2025|| 
  1939|  2023|          | 
  1948|  2035||
  1952|  2019||
  1954|  2071||
  1955|  2070||
  1960|  2011| 12    Cas| 
  1962|  2066||
  1976|  2098||
  1978| ||
  1982|  2054|          | 
  1987|  2057||
  1993| ||
  1996|  2093||
  2001|  2132||
  2003|  2129||
  2006|  2114| 44    Psc| 
  2021|  2151|   Bet Hyi| 
  2024|  2112||
  2025|  2140||
  2032|  2199||
  2036|  2083||
  2037|  2110||
  2038|  2195||
  2058|  2191||
  2063|  2152||
  2074|  2170||
  2072|  2262|   Kap Phe| 
  2076|  2259||
  2080|  2235||
  2081|  2261|   Alp Phe|Ankaa
  2086|  2268||
  2087|  2219||
  2100|  2273| 10    Cet| 
  2101|  2244||
  2102| ||
  2106|  2354||
  2120| || 
  2135|  2302||
  2138|  2324||
  2140|  2335||
  2142|  2169||
  2144|  2313||
  2151|  2301||
  2152|  2315||
  2159|  2363|          | 
  2166|  2344||
  2169|  2376||
  2178|  2358||
  2184|  2395||
  2190|  2394||
  2191|  2329||
  2194|  2404||
  2201| ||
  2210|  2429|   Eta Scl| 
  2213|  2410||
  2215|  2438||
  2219|  2411| 47    Psc| 
  2222|  2423||
  2224|  2436| 48    Psc| 
  2225|  2421|          | 
  2227|  2455||
  2235|  2454|          | 
  2237|  2475|          | 
  2239|  2477||
  2240|  2490|          | 
  2241|  2452||
  2243|  2453||
  2246|  2488||
  2247| ||
  2249|  2472||
  2256|  2529|          | 
  2263|  2527||
  2267|  2469||
  2270|  2507|          | 
  2271|  2486||
  2282|  2587||
  2283|  2553||
  2300|  2552||
  2304|  2608||
  2311|  2595||
  2312|  2593||
  2315|  2592||
  2320|  2535||
  2323|  2612||
  2327| ||
  2330|  2632|          | 
  2336|  2611||
  2337|  2630|          | 
  2343|  2629||
  2353|  2637| 12    Cet| 
  2355|  2628| 28    And| 
  2358|  2648||
  2364| ||
  2371|  2610||
  2373| ||
  2374|  2656||
  2377|  2626|          | 
  2381|  2696|          | 
  2383|  2726|          | 
  2388|  2724|          | 
  2392|  2723||
  2397| ||
  2408|  2718||
  2409|  2654||
  2414|  2675||
  2415|  2714||
  2422|  2589|          | 
  2426| ||
  2431|  2760||
  2437|  2712||
  2440|  2701||
  2453|  2663||
  2455|  2739||
  2472|  2834|   Lam1Phe| 
  2473|  2766||
  2474|  2729| 13    Cas| 
  2475|  2767|          | 
  2479|  2792||
  2480|  2779||
  2481|  2778||
  2484|  2884|   Bet1Tuc| 
  2487|  2885|   Bet2Tuc| 
  2490|  2806||
  2491|  2807||
  2496|  2830||
  2497|  2774|          | 
  2498|  2816||
  2502|  2815||
  2505|  2772| 14Lam Cas| 
  2507|  2805||
  2512|  2827||
  2517|  2841||
  2527|  2894||
  2533|  2880||
  2537|  2825||
  2539|  2866||
  2540| || 
  2543|  2851||
  2544|  2916||
  2548|  2913| 51    Psc| 
  2553|  2888|          | 
  2552| || 
  2557|  2873||
  2560|  2911||
  2565|  2924|          | 
  2568|  2910| 52    Psc| 
  2572|  2947||
  2573|  2925||
  2576|  2923||
  2578|  3003|   Bet3Tuc| 
  2581|  2901||
  2583|  2942|          | 
  2595|  2954||
  2599|  2905| 15Kap Cas| 
  2604| ||
  2611|  2952|          | 
  2612|  2995||
  2616|  3025||
  2628|  2904|          | 
  2629|  3112|   The Tuc| 
  2641|  3024||
  2642|  3075||
  2645|  3047||
  2649|  3045||
  2661|  3059|          | 
  2663|  3074||
  2665|  3085||
  2677|  3070||
  2695|  3088||
  2701|  3136||
  2707|  3038| 16    Cas| 
  2708|  3145||
  2710|  3126||
  2711|  3158|          | 
  2712|  3079|| 
  2713|  3125||
  2719|  3066||
  2723|  3173||
  2725| ||
  2729|  3221||
  2734|  3166|          | 
  2736|  3167||
  2742|  3141||
  2743|  3222||
  2753|  3165||
  2756|  3123||
  2760|  3149||
  2762|  3196| 13    Cet| 
  2782|  3184||
  2787|  3229| 14    Cet| 
  2789|  3303|          | 
  2790|  3277||
  2795|  3192||
  2796|  3147||
  2797| ||
  2802|  3302|   Lam2Phe| 
  2814|  3210||
  2815|  3255||
  2824|  3251||
  2828| ||
  2832|  3268|          | 
  2839| ||
  2841|  3375||
  2843|  3296||
  2846|  3325|          | 
  2848|  3359|| 
  2851|  3265||
  2852|  3326|          | 
  2854|  3240|          | 
  2856|  3293||
  2865|  3322|          | 
  2866|  3291||
  2876|  3283|          | 
  2889|  3444|          | 
  2888|  3405|| 
  2900|  3346|          | 
  2901|  3345||
  2903|  3379| 53    Psc| 
  2907|  3528||
  2912|  3369| 29Pi  And| 
  2920|  3360| 17Zet Cas| 
  2922|  3368||
  2926|  3411|          | 
  2935|  3377||
  2936|  3434||
  2937|  3488|          | 
  2941|  3443|          | 
  2942|  3421|          | 
  2944|  3460||
  2948|  3431||
  2954|  3457|          | 
  2965|  3468||
  2968|  3366||
  2981|  3454||
  2994|  3512||
  2997|  3552||
  3001|  3611||
  3006|  3161||
  3008| || 
  3010|  3689||
  3020|  3598||
  3025|  3580||
  3028|  3569||
  3030|  3489||
  3031|  3546| 30Eps And| 
  3035|  3581||
  3042|  3719|          | 
  3045|  3531||
  3053|  4152||
  3056|  3605||
  3058|  3519||
  3070|  3590||
  3083|  3574|          | 
  3084|  3698||
  3086|  3628||
  3092|  3627| 31Del And| 
  3093|  3651| 54    Psc| 
  3114|  4229||
  3119|  3674||
  3121| ||
  3122|  3708||
  3125| ||
  3132|  3440|          | 
  3137|  3750|          | 
  3138|  3690| 55    Psc| 
  3142|  3735|          | 
  3143| || 
  3145|  3553||
  3165|  3743||
  3166|  3681||
  3169|  3770||
  3170|  3823|          | 
  3171|  3699||
  3172|  3660||
  3175|  3794|          | 
  3178|  3853||
  3179|  3712| 18Alp Cas|Shedir
  3185|  3795|          | 
  3188|  3809||
  3193|  3807|          | 
  3195|  3852||
  3203|  3821||
  3206|  3765|| 
  3210|  3888||
  3225|  3828||
  3227|  3777||
  3231|  3817| 32    And| 
  3232| ||
  3236|  3861||
  3240|  3802||
  3243| || 
  3245|  3919|   Mu  Phe| 
  3249| ||
  3261| || 
  3266|  3917||
  3267|  3801||
  3269|  3883|          | 
  3277|  3980|   Xi  Phe| 
  3288|  3979||
  3289|  3881||
  3293|  3914||
  3299|  3856|          | 
  3300|  3901| 19Xi  Cas| 
  3316|  3975||
  3324|  3934||
  3330|  4089|   Rho Tuc| 
  3331|  3970||
  3334|  3924|          | 
  3337|  4082||
  3340|  4083||
  3344|  4053||
  3346|  3950||
  3348|  3891||
  3351|  4125||
  3352|  4088|          | 
  3356|  4065|   Lam1Scl| 
  3360|  4006||
  3362| || 
  3365|  3989||
  3367|  3940||
  3369|  4048||
  3371|  4014||
  3378| ||
  3385|  4061||
  3391|  4113||
  3397|  4130||
  3402|  4097||
  3405|  4150|   Eta Phe| 
  3414|  4058| 20Pi  Cas| 
  3418| || 
  3419|  4128| 16Bet Cet|Diphda
  3428| || 
  3436|  4145|          | 
  3438|  4119||
  3444|  4102||
  3445|  4042||
  3454|  4134||
  3455|  4188| 17Phi1Cet| 
  3456|  4211|   Lam2Scl| 
  3459|  4228||
  3478|  4142|          | 
  3479|  4208|| 
  3489|  4294|          | 
  3490|  4438||
  3493| || 
  3494|  4174||
  3497|  4308|| 
  3504|  4180| 22Omi Cas| 
  3505|  4247|          | 
  3509|  4132||
  3517|  4332||
  3521|  4293|          | 
  3526|  4272||
  3527|  4304|          | 
  3532|  4179||
  3533|  4075|| 
  3535|  4256|| 
  3540|  4271||
  3541|  4269||
  3544|  4222|          | 
  3551| ||
  3552|  4301|          | 
  3556| || 
  3559|  4307| 18    Cet| 
  3571| ||
  3572|  4161| 21    Cas| 
  3576|  4338|          | 
  3578|  4392||
  3583|  4391|          | 
  3584|  4266||
  3585|  4312||
  3587|  4243||
  3588|  4378|| 
  3589|  4277||
  3593|  4375||
  3604|  4335|          | 
  3607|  4398|          | 
  3611|  4321|          | 
  3618| ||
  3617|  4372||
  3619|  4496||
  3620|  4388||
  3632|  4408| 57    Psc| 
  3633| ||
  3634|  4521||
  3637|  4471||
  3638|  4385||
  3641|  4295|          | 
  3645|  4449||
  3649|  4362|          | 
  3650|  4432||
  3662|  4406||
  3675|  4482| 58    Psc| 
  3685|  4490| 59    Psc| 
  3693|  4502| 34Zet And| 
  3697|  4526| 60    Psc| 
  3708|  4565||
  3715|  4595||
